STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
37,37167,Stanly,Stanly County,37167,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37079,Greene,Greene County,37079,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13069,Coffee,Coffee County,13069,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13299,Ware,Ware County,13299,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37129,New Hanover,New Hanover County,37129,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37147,Pitt,Pitt County,37147,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13001,Appling,Appling County,13001,34.0,AL042024,al,4.0,000,2024080212,2024081018
51,51081,Greensville,Greensville County,51081,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12105,Polk,Polk County,12105,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45029,Colleton,Colleton County,45029,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37141,Pender,Pender County,37141,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45049,Hampton,Hampton County,45049,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13029,Bryan,Bryan County,13029,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13065,Clinch,Clinch County,13065,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13185,Lowndes,Lowndes County,13185,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37179,Union,Union County,37179,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37133,Onslow,Onslow County,37133,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13161,Jeff Davis,Jeff Davis County,13161,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12023,Columbia,Columbia County,12023,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37065,Edgecombe,Edgecombe County,37065,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12021,Collier,Collier County,12021,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12003,Baker,Baker County,12003,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13173,Lanier,Lanier County,13173,34.0,AL042024,al,4.0,000,2024080212,2024081018
