STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
13,13309,Wheeler,Wheeler County,13309,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37049,Craven,Craven County,37049,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45041,Florence,Florence County,45041,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13109,Evans,Evans County,13109,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37195,Wilson,Wilson County,37195,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37061,Duplin,Duplin County,37061,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13229,Pierce,Pierce County,13229,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45085,Sumter,Sumter County,45085,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45075,Orangeburg,Orangeburg County,45075,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13107,Emanuel,Emanuel County,13107,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13245,Richmond,Richmond County,13245,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13305,Wayne,Wayne County,13305,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37091,Hertford,Hertford County,37091,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37165,Scotland,Scotland County,37165,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37085,Harnett,Harnett County,37085,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37105,Lee,Lee County,37105,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12107,Putnam,Putnam County,12107,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13101,Echols,Echols County,13101,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12065,Jefferson,Jefferson County,12065,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13179,Liberty,Liberty County,13179,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37017,Bladen,Bladen County,37017,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12067,Lafayette,Lafayette County,12067,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37177,Tyrrell,Tyrrell County,37177,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12047,Hamilton,Hamilton County,12047,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12075,Levy,Levy County,12075,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37095,Hyde,Hyde County,37095,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45067,Marion,Marion County,45067,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37101,Johnston,Johnston County,37101,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37015,Bertie,Bertie County,37015,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37079,Greene,Greene County,37079,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13069,Coffee,Coffee County,13069,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13299,Ware,Ware County,13299,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37129,New Hanover,New Hanover County,37129,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37147,Pitt,Pitt County,37147,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13001,Appling,Appling County,13001,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45029,Colleton,Colleton County,45029,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37141,Pender,Pender County,37141,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45049,Hampton,Hampton County,45049,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13029,Bryan,Bryan County,13029,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12111,St. Lucie,St. Lucie County,12111,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13065,Clinch,Clinch County,13065,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13185,Lowndes,Lowndes County,13185,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37133,Onslow,Onslow County,37133,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13161,Jeff Davis,Jeff Davis County,13161,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12023,Columbia,Columbia County,12023,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37065,Edgecombe,Edgecombe County,37065,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12021,Collier,Collier County,12021,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12003,Baker,Baker County,12003,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13173,Lanier,Lanier County,13173,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13209,Montgomery,Montgomery County,13209,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13165,Jenkins,Jenkins County,13165,34.0,AL092022,al,9.0,000,2022092218,2022100106
