STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
28,28149,Warren,Warren County,28149,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22047,Iberville,Iberville Parish,22047,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28125,Sharkey,Sharkey County,28125,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22083,Richland,Richland Parish,22083,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22099,St. Martin,St. Martin Parish,22099,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22027,Claiborne,Claiborne Parish,22027,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28127,Simpson,Simpson County,28127,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28121,Rankin,Rankin County,28121,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48457,Tyler,Tyler County,48457,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22097,St. Landry,St. Landry Parish,22097,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48167,Galveston,Galveston County,48167,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48201,Harris,Harris County,48201,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48347,Nacogdoches,Nacogdoches County,48347,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22077,Pointe Coupee,Pointe Coupee Parish,22077,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22059,LaSalle,LaSalle Parish,22059,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28051,Holmes,Holmes County,28051,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22119,Webster,Webster Parish,22119,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22093,St. James,St. James Parish,22093,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48419,Shelby,Shelby County,48419,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22067,Morehouse,Morehouse Parish,22067,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28163,Yazoo,Yazoo County,28163,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22079,Rapides,Rapides Parish,22079,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28077,Lawrence,Lawrence County,28077,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22127,Winn,Winn Parish,22127,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22115,Vernon,Vernon Parish,22115,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22025,Catahoula,Catahoula Parish,22025,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28113,Pike,Pike County,28113,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28029,Copiah,Copiah County,28029,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22007,Assumption,Assumption Parish,22007,34.0,AL262020,al,26.0,000,2020100418,2020101118
05,05003,Ashley,Ashley County,5003,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28005,Amite,Amite County,28005,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22031,De Soto,De Soto Parish,22031,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22017,Caddo,Caddo Parish,22017,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22081,Red River,Red River Parish,22081,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22117,Washington,Washington Parish,22117,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22085,Sabine,Sabine Parish,22085,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22103,St. Tammany,St. Tammany Parish,22103,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48373,Polk,Polk County,48373,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22033,East Baton Rouge,East Baton Rouge Parish,22033,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28021,Claiborne,Claiborne County,28021,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48405,San Augustine,San Augustine County,48405,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28053,Humphreys,Humphreys County,28053,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22045,Iberia,Iberia Parish,22045,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48291,Liberty,Liberty County,48291,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48241,Jasper,Jasper County,48241,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48071,Chambers,Chambers County,48071,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48199,Hardin,Hardin County,48199,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48039,Brazoria,Brazoria County,48039,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22069,Natchitoches,Natchitoches Parish,22069,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22109,Terrebonne,Terrebonne Parish,22109,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22013,Bienville,Bienville Parish,22013,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22015,Bossier,Bossier Parish,22015,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22003,Allen,Allen Parish,22003,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22073,Ouachita,Ouachita Parish,22073,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22095,St. John the Baptist,St. John the Baptist Parish,22095,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22091,St. Helena,St. Helena Parish,22091,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28157,Wilkinson,Wilkinson County,28157,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28037,Franklin,Franklin County,28037,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22125,West Feliciana,West Feliciana Parish,22125,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28133,Sunflower,Sunflower County,28133,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22101,St. Mary,St. Mary Parish,22101,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22057,Lafourche,Lafourche Parish,22057,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28063,Jefferson,Jefferson County,28063,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22123,West Carroll,West Carroll Parish,22123,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28001,Adams,Adams County,28001,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22029,Concordia,Concordia Parish,22029,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22063,Livingston,Livingston Parish,22063,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22121,West Baton Rouge,West Baton Rouge Parish,22121,34.0,AL262020,al,26.0,000,2020100418,2020101118
05,05017,Chicot,Chicot County,5017,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22065,Madison,Madison Parish,22065,34.0,AL262020,al,26.0,000,2020100418,2020101118
