STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
48,48457,Tyler,Tyler County,48457,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05149,Yell,Yell County,5149,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72021,Bayamón,Bayamón Municipio,72021,34.0,AL132020,al,13.0,000,2020082000,2020082906
78,78010,St. Croix,St. Croix Island,78010,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05095,Monroe,Monroe County,5095,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22097,St. Landry,St. Landry Parish,22097,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72117,Rincón,Rincón Municipio,72117,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48167,Galveston,Galveston County,48167,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72145,Vega Baja,Vega Baja Municipio,72145,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48347,Nacogdoches,Nacogdoches County,48347,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22077,Pointe Coupee,Pointe Coupee Parish,22077,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22059,LaSalle,LaSalle Parish,22059,34.0,AL132020,al,13.0,000,2020082000,2020082906
12,12087,Monroe,Monroe County,12087,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72023,Cabo Rojo,Cabo Rojo Municipio,72023,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72069,Humacao,Humacao Municipio,72069,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72077,Juncos,Juncos Municipio,72077,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05013,Calhoun,Calhoun County,5013,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72037,Ceiba,Ceiba Municipio,72037,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72047,Corozal,Corozal Municipio,72047,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22119,Webster,Webster Parish,22119,34.0,AL132020,al,13.0,000,2020082000,2020082906
78,78020,St. John,St. John Island,78020,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05107,Phillips,Phillips County,5107,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22093,St. James,St. James Parish,22093,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72099,Moca,Moca Municipio,72099,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72107,Orocovis,Orocovis Municipio,72107,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48419,Shelby,Shelby County,48419,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22075,Plaquemines,Plaquemines Parish,22075,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22067,Morehouse,Morehouse Parish,22067,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72129,San Lorenzo,San Lorenzo Municipio,72129,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72135,Toa Alta,Toa Alta Municipio,72135,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05067,Jackson,Jackson County,5067,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22079,Rapides,Rapides Parish,22079,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72095,Maunabo,Maunabo Municipio,72095,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22009,Avoyelles,Avoyelles Parish,22009,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22127,Winn,Winn Parish,22127,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05045,Faulkner,Faulkner County,5045,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72109,Patillas,Patillas Municipio,72109,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22025,Catahoula,Catahoula Parish,22025,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72091,Manatí,Manatí Municipio,72091,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22007,Assumption,Assumption Parish,22007,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05003,Ashley,Ashley County,5003,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05041,Desha,Desha County,5041,34.0,AL132020,al,13.0,000,2020082000,2020082906
