Geographic Area,Households—Median income (dollars)—Estimate,Median income
"Bay County, Florida","65,999",65999
"Bay County, Michigan","57,887",57887
"Bayamón Municipio, Puerto Rico","29,403",29403
"Bayfield County, Wisconsin","67,266",67266
"Baylor County, Texas","52,716",52716
"Beadle County, South Dakota","63,813",63813
"Bear Lake County, Idaho","63,244",63244
"Beaufort County, North Carolina","56,081",56081
"Beaufort County, South Carolina","81,260",81260
"Beauregard Parish, Louisiana","68,525",68525
"Beaver County, Oklahoma","62,981",62981
"Beaver County, Pennsylvania","67,194",67194
"Beaver County, Utah","80,268",80268
"Beaverhead County, Montana","55,867",55867
"Becker County, Minnesota","68,683",68683
"Beckham County, Oklahoma","51,499",51499
"Bedford County, Pennsylvania","58,337",58337
"Bedford County, Tennessee","59,955",59955
"Bedford County, Virginia","74,773",74773
"Bee County, Texas","50,283",50283
"Belknap County, New Hampshire","80,719",80719
"Bell County, Kentucky","33,658",33658
"Bell County, Texas","62,858",62858
"Belmont County, Ohio","56,943",56943
"Beltrami County, Minnesota","62,173",62173
"Ben Hill County, Georgia","38,255",38255
"Benewah County, Idaho","54,191",54191
"Bennett County, South Dakota","44,821",44821
"Bennington County, Vermont","68,558",68558
"Benson County, North Dakota","63,220",63220
"Bent County, Colorado","45,776",45776
"Benton County, Arkansas","85,269",85269
"Benton County, Indiana","58,620",58620
"Benton County, Iowa","79,444",79444
"Benton County, Minnesota","70,346",70346
"Benton County, Mississippi","38,750",38750
"Benton County, Missouri","50,229",50229
"Benton County, Oregon","72,882",72882
"Benton County, Tennessee","47,737",47737
"Benton County, Washington","83,778",83778
"Benzie County, Michigan","71,327",71327
"Bergen County, New Jersey","118,714",118714
"Berkeley County, South Carolina","77,874",77874
"Berkeley County, West Virginia","73,619",73619
"Berks County, Pennsylvania","74,617",74617
"Berkshire County, Massachusetts","69,744",69744
"Bernalillo County, New Mexico","62,220",62220
"Berrien County, Georgia","48,670",48670
"Berrien County, Michigan","60,379",60379
"Bertie County, North Carolina","41,652",41652
"Bethel Census Area, Alaska","64,094",64094
"Bexar County, Texas","67,275",67275
"Bibb County, Alabama","50,669",50669
"Bibb County, Georgia","48,897",48897
"Bienville Parish, Louisiana","34,268",34268
"Big Horn County, Montana","52,463",52463
"Big Horn County, Wyoming","61,262",61262
"Big Stone County, Minnesota","63,024",63024
"Billings County, North Dakota","74,000",74000
"Bingham County, Idaho","69,433",69433
"Black Hawk County, Iowa","62,329",62329
"Blackford County, Indiana","51,108",51108
"Bladen County, North Carolina","40,476",40476
"Blaine County, Idaho","81,794",81794
"Blaine County, Montana","58,507",58507
"Blaine County, Nebraska","52,083",52083
"Blaine County, Oklahoma","56,843",56843
"Blair County, Pennsylvania","59,386",59386
"Blanco County, Texas","79,717",79717
"Bland County, Virginia","59,901",59901
"Bleckley County, Georgia","56,021",56021
"Bledsoe County, Tennessee","51,783",51783
"Blount County, Alabama","57,440",57440
"Blount County, Tennessee","70,935",70935
"Blue Earth County, Minnesota","70,906",70906
"Boise County, Idaho","70,776",70776
"Bolivar County, Mississippi","37,845",37845
"Bollinger County, Missouri","52,306",52306
"Bon Homme County, South Dakota","57,554",57554
"Bond County, Illinois","58,617",58617
"Bonner County, Idaho","61,816",61816
"Bonneville County, Idaho","73,103",73103
"Boone County, Arkansas","52,275",52275
"Boone County, Illinois","80,502",80502
"Boone County, Indiana","103,038",103038
"Boone County, Iowa","75,759",75759
"Boone County, Kentucky","91,697",91697
"Boone County, Missouri","66,564",66564
"Boone County, Nebraska","66,800",66800
"Boone County, West Virginia","56,182",56182
"Borden County, Texas","80,625",80625
"Bosque County, Texas","63,868",63868
"Bossier Parish, Louisiana","64,598",64598
"Botetourt County, Virginia","77,680",77680
"Bottineau County, North Dakota","80,113",80113
"Boulder County, Colorado","99,770",99770
"Boundary County, Idaho","58,810",58810
"Bourbon County, Kansas","55,826",55826
"Bourbon County, Kentucky","54,580",54580
"Bowie County, Texas","56,628",56628
"Bowman County, North Dakota","79,709",79709
"Box Butte County, Nebraska","67,893",67893
"Box Elder County, Utah","72,769",72769
"Boyd County, Kentucky","58,327",58327
"Boyd County, Nebraska","57,120",57120
"Boyle County, Kentucky","56,568",56568
"Bracken County, Kentucky","59,911",59911
"Bradford County, Florida","54,759",54759
"Bradford County, Pennsylvania","60,650",60650
"Bradley County, Arkansas","43,688",43688
"Bradley County, Tennessee","60,692",60692
"Branch County, Michigan","60,600",60600
"Brantley County, Georgia","40,166",40166
"Braxton County, West Virginia","42,245",42245
"Brazoria County, Texas","91,972",91972
"Brazos County, Texas","57,562",57562
"Breathitt County, Kentucky","38,209",38209
"Breckinridge County, Kentucky","51,756",51756
"Bremer County, Iowa","84,727",84727
"Brevard County, Florida","71,308",71308
"Brewster County, Texas","47,747",47747
"Briscoe County, Texas","35,446",35446
"Bristol Bay Borough, Alaska","94,167",94167
"Bristol city, Virginia","45,250",45250
"Bristol County, Massachusetts","80,628",80628
"Bristol County, Rhode Island","105,875",105875
"Broadwater County, Montana","61,679",61679
"Bronx County, New York","47,036",47036
"Brooke County, West Virginia","51,963",51963
"Brookings County, South Dakota","64,438",64438
"Brooks County, Georgia","42,263",42263
"Brooks County, Texas","30,566",30566
"Broome County, New York","58,317",58317
"Broomfield County, Colorado","117,541",117541
"Broward County, Florida","70,331",70331
"Brown County, Illinois","64,760",64760
"Brown County, Indiana","73,933",73933
"Brown County, Kansas","55,876",55876
"Brown County, Minnesota","67,038",67038
"Brown County, Nebraska","44,267",44267
"Brown County, Ohio","66,677",66677
"Brown County, South Dakota","70,379",70379
"Brown County, Texas","53,792",53792
"Brown County, Wisconsin","74,066",74066
"Brule County, South Dakota","64,821",64821
"Brunswick County, North Carolina","71,193",71193
"Brunswick County, Virginia","52,678",52678
"Bryan County, Georgia","90,627",90627
"Bryan County, Oklahoma","54,289",54289
"Buchanan County, Iowa","73,493",73493
"Buchanan County, Missouri","58,303",58303
"Buchanan County, Virginia","39,591",39591
"Buckingham County, Virginia","59,894",59894
"Bucks County, Pennsylvania","107,826",107826
"Buena Vista city, Virginia","48,783",48783
"Buena Vista County, Iowa","62,662",62662
"Buffalo County, Nebraska","70,093",70093
"Buffalo County, South Dakota","42,917",42917
"Buffalo County, Wisconsin","64,238",64238
"Bullitt County, Kentucky","73,900",73900
"Bulloch County, Georgia","53,675",53675
"Bullock County, Alabama","36,136",36136
"Buncombe County, North Carolina","66,531",66531
"Bureau County, Illinois","64,165",64165
"Burke County, Georgia","50,321",50321
"Burke County, North Carolina","53,732",53732
"Burke County, North Dakota","94,583",94583
"Burleigh County, North Dakota","82,141",82141
"Burleson County, Texas","71,745",71745
"Burlington County, New Jersey","102,615",102615
"Burnet County, Texas","71,482",71482
"Burnett County, Wisconsin","60,466",60466
"Burt County, Nebraska","54,950",54950
"Butler County, Alabama","44,429",44429
"Butler County, Iowa","65,743",65743
"Butler County, Kansas","77,724",77724
"Butler County, Kentucky","47,589",47589
"Butler County, Missouri","47,245",47245
"Butler County, Nebraska","75,690",75690
"Butler County, Ohio","77,062",77062
"Butler County, Pennsylvania","82,932",82932
"Butte County, California","66,085",66085
"Butte County, Idaho","37,358",37358
"Butte County, South Dakota","58,106",58106
"Butts County, Georgia","60,076",60076
"Cabarrus County, North Carolina","83,828",83828
"Cabell County, West Virginia","48,944",48944
"Cabo Rojo Municipio, Puerto Rico","23,077",23077
"Cache County, Utah","72,719",72719
"Caddo County, Oklahoma","52,443",52443
"Caddo Parish, Louisiana","47,572",47572
"Caguas Municipio, Puerto Rico","29,279",29279
"Calaveras County, California","77,526",77526
"Calcasieu Parish, Louisiana","64,370",64370
"Caldwell County, Kentucky","52,488",52488
"Caldwell County, Missouri","58,269",58269
"Caldwell County, North Carolina","52,362",52362
"Caldwell County, Texas","66,779",66779
"Caldwell Parish, Louisiana","45,707",45707
"Caledonia County, Vermont","62,964",62964
"Calhoun County, Alabama","54,339",54339
"Calhoun County, Arkansas","60,237",60237
"Calhoun County, Florida","41,526",41526
"Calhoun County, Georgia","48,663",48663
"Calhoun County, Illinois","88,059",88059
"Calhoun County, Iowa","65,614",65614
"Calhoun County, Michigan","58,191",58191
"Calhoun County, Mississippi","44,505",44505
"Calhoun County, South Carolina","55,550",55550
"Calhoun County, Texas","62,267",62267
"Calhoun County, West Virginia","39,031",39031
"Callahan County, Texas","63,906",63906
"Callaway County, Missouri","70,599",70599
"Calloway County, Kentucky","48,276",48276
"Calumet County, Wisconsin","84,151",84151
"Calvert County, Maryland","128,078",128078
"Camas County, Idaho","63,750",63750
"Cambria County, Pennsylvania","54,221",54221
"Camden County, Georgia","68,104",68104
"Camden County, Missouri","59,834",59834
"Camden County, New Jersey","82,005",82005
"Camden County, North Carolina","79,120",79120
"Cameron County, Pennsylvania","46,186",46186
"Cameron County, Texas","47,435",47435
"Cameron Parish, Louisiana","69,847",69847
"Camp County, Texas","53,968",53968
"Campbell County, Kentucky","71,979",71979
"Campbell County, South Dakota","66,932",66932
"Campbell County, Tennessee","48,258",48258
"Campbell County, Virginia","59,022",59022
"Campbell County, Wyoming","93,315",93315
"Camuy Municipio, Puerto Rico","23,263",23263
"Canadian County, Oklahoma","82,364",82364
"Candler County, Georgia","45,519",45519
"Cannon County, Tennessee","57,651",57651
"Canóvanas Municipio, Puerto Rico","26,021",26021
"Canyon County, Idaho","68,473",68473
"Cape Girardeau County, Missouri","65,070",65070
"Cape May County, New Jersey","83,870",83870
"Capitol Planning Region, Connecticut","88,190",88190
"Carbon County, Montana","66,780",66780
"Carbon County, Pennsylvania","64,538",64538
"Carbon County, Utah","53,734",53734
"Carbon County, Wyoming","65,196",65196
"Caribou County, Idaho","65,380",65380
"Carlisle County, Kentucky","53,065",53065
"Carlton County, Minnesota","74,660",74660
"Carolina Municipio, Puerto Rico","32,888",32888
"Caroline County, Maryland","65,326",65326
"Caroline County, Virginia","83,562",83562
"Carroll County, Arkansas","56,826",56826
"Carroll County, Georgia","66,895",66895
"Carroll County, Illinois","61,539",61539
"Carroll County, Indiana","61,464",61464
"Carroll County, Iowa","68,041",68041
"Carroll County, Kentucky","50,625",50625
"Carroll County, Maryland","111,672",111672
"Carroll County, Mississippi","42,285",42285
"Carroll County, Missouri","59,101",59101
"Carroll County, New Hampshire","77,049",77049
"Carroll County, Ohio","59,872",59872
"Carroll County, Tennessee","49,700",49700
"Carroll County, Virginia","49,113",49113
"Carson City, Nevada","67,465",67465
"Carson County, Texas","83,199",83199
"Carter County, Kentucky","47,004",47004
"Carter County, Missouri","45,737",45737
"Carter County, Montana","46,486",46486
"Carter County, Oklahoma","56,390",56390
"Carter County, Tennessee","47,994",47994
"Carteret County, North Carolina","66,965",66965
"Carver County, Minnesota","116,308",116308
"Cascade County, Montana","61,351",61351
"Casey County, Kentucky","42,190",42190
"Cass County, Illinois","64,826",64826
"Cass County, Indiana","55,862",55862
"Cass County, Iowa","60,815",60815
"Cass County, Michigan","65,183",65183
"Cass County, Minnesota","61,970",61970
"Cass County, Missouri","82,473",82473
"Cass County, Nebraska","87,673",87673
"Cass County, North Dakota","73,249",73249
"Cass County, Texas","54,303",54303
"Cassia County, Idaho","63,525",63525
"Castro County, Texas","59,886",59886
"Caswell County, North Carolina","56,999",56999
"Catahoula Parish, Louisiana","48,259",48259
"Cataño Municipio, Puerto Rico","22,407",22407
"Catawba County, North Carolina","62,070",62070
"Catoosa County, Georgia","68,896",68896
"Catron County, New Mexico","44,777",44777
"Cattaraugus County, New York","56,889",56889
"Cavalier County, North Dakota","61,174",61174
"Cayey Municipio, Puerto Rico","26,704",26704
"Cayuga County, New York","63,227",63227
"Cecil County, Maryland","86,869",86869
"Cedar County, Iowa","76,959",76959
"Cedar County, Missouri","43,589",43589
"Cedar County, Nebraska","72,035",72035
"Ceiba Municipio, Puerto Rico","22,945",22945
"Centre County, Pennsylvania","70,087",70087
"Cerro Gordo County, Iowa","63,149",63149
"Chaffee County, Colorado","65,703",65703
"Chambers County, Alabama","48,805",48805
"Chambers County, Texas","106,103",106103
"Champaign County, Illinois","61,090",61090
"Champaign County, Ohio","70,486",70486
"Chariton County, Missouri","61,910",61910
"Charles City County, Virginia","65,573",65573
"Charles County, Maryland","116,882",116882
"Charles Mix County, South Dakota","60,729",60729
"Charleston County, South Carolina","78,795",78795
"Charlevoix County, Michigan","69,764",69764
"Charlotte County, Florida","62,164",62164
"Charlotte County, Virginia","51,548",51548
"Charlottesville city, Virginia","67,177",67177
"Charlton County, Georgia","45,770",45770
"Chase County, Kansas","52,481",52481
"Chase County, Nebraska","57,313",57313
"Chatham County, Georgia","66,171",66171
"Chatham County, North Carolina","84,222",84222
"Chattahoochee County, Georgia","52,943",52943
"Chattooga County, Georgia","43,556",43556
"Chautauqua County, Kansas","51,210",51210
"Chautauqua County, New York","54,625",54625
"Chaves County, New Mexico","49,673",49673
"Cheatham County, Tennessee","77,014",77014
"Cheboygan County, Michigan","59,557",59557
"Chelan County, Washington","71,876",71876
"Chemung County, New York","61,358",61358
"Chenango County, New York","61,741",61741
"Cherokee County, Alabama","46,621",46621
"Cherokee County, Georgia","100,824",100824
"Cherokee County, Iowa","63,638",63638
"Cherokee County, Kansas","53,382",53382
"Cherokee County, North Carolina","49,254",49254
"Cherokee County, Oklahoma","52,410",52410
"Cherokee County, South Carolina","47,011",47011
"Cherokee County, Texas","56,971",56971
"Cherry County, Nebraska","62,373",62373
"Chesapeake city, Virginia","92,703",92703
"Cheshire County, New Hampshire","76,551",76551
"Chester County, Pennsylvania","118,574",118574
"Chester County, South Carolina","50,022",50022
"Chester County, Tennessee","57,471",57471
"Chesterfield County, South Carolina","46,326",46326
"Chesterfield County, Virginia","95,757",95757
"Cheyenne County, Colorado","65,577",65577
"Cheyenne County, Kansas","52,730",52730
"Cheyenne County, Nebraska","54,038",54038
"Chickasaw County, Iowa","72,734",72734
"Chickasaw County, Mississippi","40,224",40224
"Chicot County, Arkansas","36,593",36593
"Childress County, Texas","56,063",56063
"Chilton County, Alabama","62,471",62471
"Chippewa County, Michigan","58,408",58408
"Chippewa County, Minnesota","62,112",62112
"Chippewa County, Wisconsin","69,815",69815
"Chisago County, Minnesota","97,446",97446
"Chittenden County, Vermont","89,494",89494
"Choctaw County, Alabama","43,299",43299
"Choctaw County, Mississippi","41,887",41887
"Choctaw County, Oklahoma","43,252",43252
"Chouteau County, Montana","51,791",51791
"Chowan County, North Carolina","51,188",51188
"Christian County, Illinois","56,933",56933
"Christian County, Kentucky","48,920",48920
"Christian County, Missouri","75,787",75787
"Chugach Census Area, Alaska","83,068",83068
"Churchill County, Nevada","69,922",69922
"Ciales Municipio, Puerto Rico","19,618",19618
"Cibola County, New Mexico","49,866",49866
"Cidra Municipio, Puerto Rico","25,580",25580
"Cimarron County, Oklahoma","57,100",57100
"Citrus County, Florida","52,569",52569
"Clackamas County, Oregon","95,740",95740
"Claiborne County, Mississippi","34,282",34282
"Claiborne County, Tennessee","42,406",42406
"Claiborne Parish, Louisiana","32,034",32034
"Clallam County, Washington","66,108",66108
"Clare County, Michigan","47,816",47816
"Clarendon County, South Carolina","48,677",48677
"Clarion County, Pennsylvania","58,690",58690
"Clark County, Arkansas","48,071",48071
"Clark County, Idaho","53,500",53500
"Clark County, Illinois","65,874",65874
"Clark County, Indiana","69,005",69005
"Clark County, Kansas","58,287",58287
"Clark County, Kentucky","61,878",61878
"Clark County, Missouri","53,362",53362
"Clark County, Nevada","69,911",69911
"Clark County, Ohio","58,954",58954
"Clark County, South Dakota","59,340",59340
"Clark County, Washington","90,115",90115
"Clark County, Wisconsin","63,187",63187
"Clarke County, Alabama","47,549",47549
"Clarke County, Georgia","48,692",48692
"Clarke County, Iowa","63,120",63120
"Clarke County, Mississippi","46,329",46329
"Clarke County, Virginia","107,475",107475
"Clatsop County, Oregon","68,025",68025
"Clay County, Alabama","48,074",48074
"Clay County, Arkansas","44,685",44685
"Clay County, Florida","82,242",82242
"Clay County, Georgia","43,264",43264
"Clay County, Illinois","58,028",58028
"Clay County, Indiana","68,364",68364
"Clay County, Iowa","61,756",61756
"Clay County, Kansas","57,765",57765
"Clay County, Kentucky","37,888",37888
"Clay County, Minnesota","75,006",75006
"Clay County, Mississippi","37,412",37412
"Clay County, Missouri","82,264",82264
"Clay County, Nebraska","73,933",73933
"Clay County, North Carolina","57,065",57065
"Clay County, South Dakota","55,963",55963
"Clay County, Tennessee","39,572",39572
"Clay County, Texas","75,227",75227
"Clay County, West Virginia","41,530",41530
"Clayton County, Georgia","56,207",56207
"Clayton County, Iowa","60,441",60441
"Clear Creek County, Colorado","87,169",87169
"Clearfield County, Pennsylvania","56,982",56982
"Clearwater County, Idaho","55,885",55885
"Clearwater County, Minnesota","62,723",62723
"Cleburne County, Alabama","51,553",51553
"Cleburne County, Arkansas","52,780",52780
"Clermont County, Ohio","79,573",79573
"Cleveland County, Arkansas","48,913",48913
"Cleveland County, North Carolina","50,723",50723
"Cleveland County, Oklahoma","71,757",71757
"Clinch County, Georgia","53,350",53350
"Clinton County, Illinois","78,054",78054
"Clinton County, Indiana","59,515",59515
"Clinton County, Iowa","61,080",61080
"Clinton County, Kentucky","41,180",41180
"Clinton County, Michigan","82,594",82594
"Clinton County, Missouri","66,494",66494
"Clinton County, New York","67,097",67097
"Clinton County, Ohio","64,210",64210
"Clinton County, Pennsylvania","59,011",59011
"Cloud County, Kansas","51,197",51197
"Coahoma County, Mississippi","36,075",36075
"Coal County, Oklahoma","47,117",47117
"Coamo Municipio, Puerto Rico","20,569",20569
"Cobb County, Georgia","94,244",94244
"Cochise County, Arizona","58,421",58421
"Cochran County, Texas","41,597",41597
"Cocke County, Tennessee","45,110",45110
"Coconino County, Arizona","67,266",67266
"Codington County, South Dakota","65,747",65747
"Coffee County, Alabama","62,199",62199
"Coffee County, Georgia","48,398",48398
"Coffee County, Tennessee","57,424",57424
"Coffey County, Kansas","67,645",67645
