STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
12,12001,Alachua,Alachua County,12001,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12089,Nassau,Nassau County,12089,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13275,Thomas,Thomas County,13275,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45053,Jasper,Jasper County,45053,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13005,Bacon,Bacon County,13005,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13267,Tattnall,Tattnall County,13267,50.0,AL102023,al,10.0,000,2023082612,2023090806
37,37019,Brunswick,Brunswick County,37019,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13191,McIntosh,McIntosh County,13191,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13127,Glynn,Glynn County,13127,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45043,Georgetown,Georgetown County,45043,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12073,Leon,Leon County,12073,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13025,Brantley,Brantley County,13025,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12053,Hernando,Hernando County,12053,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12129,Wakulla,Wakulla County,12129,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12127,Volusia,Volusia County,12127,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13049,Charlton,Charlton County,13049,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37155,Robeson,Robeson County,37155,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12095,Orange,Orange County,12095,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13075,Cook,Cook County,13075,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13279,Toombs,Toombs County,13279,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12041,Gilchrist,Gilchrist County,12041,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13251,Screven,Screven County,13251,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12017,Citrus,Citrus County,12017,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45089,Williamsburg,Williamsburg County,45089,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37013,Beaufort,Beaufort County,37013,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37051,Cumberland,Cumberland County,37051,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37153,Richmond,Richmond County,37153,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37093,Hoke,Hoke County,37093,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45035,Dorchester,Dorchester County,45035,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45015,Berkeley,Berkeley County,45015,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37029,Camden,Camden County,37029,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12109,St. Johns,St. Johns County,12109,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13319,Wilkinson,Wilkinson County,13319,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12027,DeSoto,DeSoto County,12027,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45069,Marlboro,Marlboro County,45069,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37031,Carteret,Carteret County,37031,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45009,Bamberg,Bamberg County,45009,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13019,Berrien,Berrien County,13019,34.0,AL102023,al,10.0,000,2023082612,2023090806
