STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
37,37079,Greene,Greene County,37079,34.0,AL052019,al,5.0,000,2019082406,2019090900
51,51001,Accomack,Accomack County,51001,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37147,Pitt,Pitt County,37147,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45029,Colleton,Colleton County,45029,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45049,Hampton,Hampton County,45049,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13029,Bryan,Bryan County,13029,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12111,St. Lucie,St. Lucie County,12111,34.0,AL052019,al,5.0,000,2019082406,2019090900
51,51710,Norfolk,Norfolk city,51710,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37065,Edgecombe,Edgecombe County,37065,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45051,Horry,Horry County,45051,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37191,Wayne,Wayne County,37191,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13051,Chatham,Chatham County,13051,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12019,Clay,Clay County,12019,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45061,Lee,Lee County,45061,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45027,Clarendon,Clarendon County,45027,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12097,Osceola,Osceola County,12097,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12083,Marion,Marion County,12083,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13103,Effingham,Effingham County,13103,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37053,Currituck,Currituck County,37053,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12089,Nassau,Nassau County,12089,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45033,Dillon,Dillon County,45033,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12009,Brevard,Brevard County,12009,34.0,AL052019,al,5.0,000,2019082406,2019090900
