fips_code,county,state,customers_out,run_start_time,total_customers,FIPS,total22_customers
12001,Alachua,Florida,3,2024-10-06 07:45:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 08:00:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 08:15:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 08:30:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 08:45:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 09:00:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 09:15:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 09:30:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-06 09:45:00,141425.0,12001,218548
12001,Alachua,Florida,15,2024-10-06 10:00:00,141425.0,12001,218548
12001,Alachua,Florida,15,2024-10-06 10:15:00,141425.0,12001,218548
12001,Alachua,Florida,15,2024-10-06 10:30:00,141425.0,12001,218548
12001,Alachua,Florida,61,2024-10-06 10:45:00,141425.0,12001,218548
12001,Alachua,Florida,61,2024-10-06 11:00:00,141425.0,12001,218548
12001,Alachua,Florida,63,2024-10-06 11:15:00,141425.0,12001,218548
12001,Alachua,Florida,64,2024-10-06 11:30:00,141425.0,12001,218548
12001,Alachua,Florida,17,2024-10-06 11:45:00,141425.0,12001,218548
12001,Alachua,Florida,22,2024-10-06 12:00:00,141425.0,12001,218548
12001,Alachua,Florida,11,2024-10-06 12:15:00,141425.0,12001,218548
12001,Alachua,Florida,12,2024-10-06 12:30:00,141425.0,12001,218548
12001,Alachua,Florida,41,2024-10-06 12:45:00,141425.0,12001,218548
12001,Alachua,Florida,751,2024-10-06 13:00:00,141425.0,12001,218548
12001,Alachua,Florida,762,2024-10-06 13:15:00,141425.0,12001,218548
12001,Alachua,Florida,763,2024-10-06 13:30:00,141425.0,12001,218548
12001,Alachua,Florida,761,2024-10-06 13:45:00,141425.0,12001,218548
12001,Alachua,Florida,763,2024-10-06 14:00:00,141425.0,12001,218548
12001,Alachua,Florida,763,2024-10-06 14:15:00,141425.0,12001,218548
12001,Alachua,Florida,748,2024-10-06 14:30:00,141425.0,12001,218548
12001,Alachua,Florida,734,2024-10-06 14:45:00,141425.0,12001,218548
12001,Alachua,Florida,717,2024-10-06 15:00:00,141425.0,12001,218548
12001,Alachua,Florida,709,2024-10-06 15:15:00,141425.0,12001,218548
12001,Alachua,Florida,707,2024-10-06 15:30:00,141425.0,12001,218548
12001,Alachua,Florida,707,2024-10-06 15:45:00,141425.0,12001,218548
12001,Alachua,Florida,696,2024-10-06 16:00:00,141425.0,12001,218548
12001,Alachua,Florida,696,2024-10-06 16:15:00,141425.0,12001,218548
12001,Alachua,Florida,696,2024-10-06 16:30:00,141425.0,12001,218548
12001,Alachua,Florida,695,2024-10-06 16:45:00,141425.0,12001,218548
12001,Alachua,Florida,1,2024-10-06 17:15:00,141425.0,12001,218548
12001,Alachua,Florida,15,2024-10-06 19:30:00,141425.0,12001,218548
12001,Alachua,Florida,21,2024-10-06 19:45:00,141425.0,12001,218548
12001,Alachua,Florida,37,2024-10-06 20:00:00,141425.0,12001,218548
12001,Alachua,Florida,34,2024-10-06 20:15:00,141425.0,12001,218548
12001,Alachua,Florida,24,2024-10-06 20:30:00,141425.0,12001,218548
12001,Alachua,Florida,53,2024-10-06 20:45:00,141425.0,12001,218548
12001,Alachua,Florida,68,2024-10-06 21:00:00,141425.0,12001,218548
12001,Alachua,Florida,44,2024-10-06 21:15:00,141425.0,12001,218548
12001,Alachua,Florida,45,2024-10-06 21:30:00,141425.0,12001,218548
12001,Alachua,Florida,47,2024-10-06 21:45:00,141425.0,12001,218548
12001,Alachua,Florida,52,2024-10-06 22:00:00,141425.0,12001,218548
12001,Alachua,Florida,59,2024-10-06 22:15:00,141425.0,12001,218548
12001,Alachua,Florida,64,2024-10-06 22:30:00,141425.0,12001,218548
12001,Alachua,Florida,65,2024-10-06 22:45:00,141425.0,12001,218548
12001,Alachua,Florida,74,2024-10-06 23:00:00,141425.0,12001,218548
